Film / Série,Année,Léon,Didier,boulet2,boulet3,antromas,Modan,Quentin,Alban,Axel,William,Eliott
Arcane,2021,5,,,5,4,4,5,,,,
007 Spectre,2015,,3,,,,3,4,,,4,
Ant-Man,2015,3,4,,,,,4,3,4,4,3
Kimi no Na wa,2016,5,5,,,4,,5,,,,5
Umbrella Academy,2019,,,4,,,2,2,3,4,,
American Sniper,2014,4,,5,,,,5,4,5,,
Fury,2014,5,,5,,,,3,3,,,5
Captain America : The first Avengers ,2011,3,4,,,,,3,3,,4,4
Captain America : Le Soldat de l'hiver,2014,3,4,,,,2,4,3,,4,4
Asterix et Obelix : Mission cléopatre,2002,4,4,,,,3,4,4,3,4,
Interstellar ,2014,5,5,,,4,4,5,4,5,,
Mourir peut attendre,2021,,5,,,,,,,,4,
Initial D,2016,,5,,,3,,,4,,,
Le Seigneur des anneaux : La Communauté de l'anneau,2001,5,,,,5,3,4,3,,,5
Avengers : Endgame,2019,,,,5,4,3,,4,3,5,5
Arthur et les Minimoys 1,2006,4,4,,,,,5,4,5,4,4
Arthur et les Minimoys 2,2009,3,2,,,,,4,3,4,3,3
Arthur et les Minimoys 3,2010,3,,,,,,4,3,4,3,3
Le Seigneur des anneaux : Les Deux Tours,2002,5,,,,4,,4,3,,,5
Sans un bruit,2018,,5,,,,,,,,,
Le Seigneur des anneaux : Le Retour du Roi,2003,5,,,,4,,5,3,,,5
Wonder woman 1,2017,,4,,,,,3,4,,4,4
Wonder woman 2,2020,,,,4,,,4,3,,,4
Parasite,2019,,,,5,5,3,,,,,
Le mans 66,2019,,,5,,,,,4,5,,
Invisible man,2020,,,4,,,,,,,,
Dernier train pour Busan,2016,,,5,,,,,4,,,
Apollo 13,1995,4,5,,,,4,,,,,
les évadés,1994,,,,,5,,,5,,,
Seul sur mars,2015,5,,,,,5,4,,5,,3
Insaisissable 1,2013,,,,,,5,,3,5,5,
Forrest Gump,1994,5,,,,5,5,,5,,,
Le crocodile du Botswanga,2014,,,,,3,,,,,,
OSS 117 : Le Caire,2006,,,,,4,5,,,,,
OSS 117 : Rio ne répond plus,2009,,,,,4,5,,,,,
Titanic,1997,,,,,2,5,4,3,4,,5
Brooklyn 99,2013,,,,,,5,,2,,,
The mask,1994,,,,,,5,4,4,3,5,3
The office,2005,,,,,4,2,3,,,,
Les gremlins,1984,,,,,,3,,2,3,,4
E.T.,1982,,,,,,4,4,1,3,3,1
Le Visiteur du Futur,2009,,,,,,5,5,,,,
Back to the Future,1985,5,,,,4,5,5,5,5,5,4
Back to the Future 2,1989,3,,,,3,5,5,4,5,4,3
Back to the Future 3,1990,4,,,,3,3,5,4,5,4,3
Le labyrinthe,2014,4,,,,4,5,,3,4,4,
Nemo,2003,5,,,,2,4,4,3,4,4,4
Pinocchio,2019,3,,,,1,3,3,3,4,3,
Castle,2009,,,,,,5,,,,,
Doctor Who,2005,,,,,,5,,3,,,3
Adèle Blanc-sec,2010,,,,,,3,,,,,
Amélie Poulain,2001,3,,,,,2,1,4,,,
Charlie et la chocolaterie,2005,2,,,,3,4,5,4,5,4,4
Pirates des Caraïbes : La Fontaine de jouvence,2011,4,,,,4,4,5,4,,4,4
Harry Potter 1,2001,4,,,,4,5,5,5,,5,5
Harry Potter 2,2002,5,,,,4,4,5,4,,5,4
Harry Potter 3,2004,3,,,,4,3,5,3,,4,5
Harry Potter 4,2005,4,,,,4,5,3,5,,4,5
Harry Potter 5,2007,4,,,,4,4,5,4,,,4
Harry Potter 6,2009,4,,,,4,3,5,3,,,4
Harry Potter 7,2010,4,,,,4,3,5,3,,,
Harry Potter 8,2011,5,,,,4,5,5,3,,,
Les animaux fantastiques,2016,4,,,,,4,4,3,,,5
Popstar: Célèbre à tout prix,2016,,,,,,4,,,,,
Bohemian Rhapsody,2018,,,,,,4,,4,,1,
Very bad trip 1,2009,,,,,,5,,4,,4,4
Very bad trip 2,2011,,,,,,4,,4,,4,
Very bad trip 3,2013,,,,,,4,,4,,4,
Projet X,2012,,,,,5,3,,4,,,
Rick et Morty,2013,,,,,,5,,5,,,
Inside job,2021,,,,,,5,,,,,
Will hunting,1997,,,,,,4,,,,,
Overlord,2018,3,,,,4,5,5,,,,
Shang-Chi et la légende des dix anneaux,2021,,,,,,4,2,,,4,
Squid Game,2021,,,,,,3,5,4,4,4,5
Dark,2017,,,,,,,,,,,
Breaking Bad,2008,,,,,,,,5,5,4,
Prison Break,2005,,,,,,2,,3,3,,
Avatar,2009,4,,,,,,,5,5,5,4
The 100,2014,3,,,,,,,3,4,,3
Ready Player One,2018,4,,,,3,3,,5,5,,5
Casa de papel,2017,,,,,,2,,4,5,5,
Le Jeu de la Dame,2020,3,,,,,4,,4,4,,
Le Dîner de cons,1998,4,,,,,2,,,4,,4
Barbaque,2021,,,,,,,,4,,,
Vikings,2013,,,,,4,4,,4,4,,
Moi moche et méchant,2010,3,,,,,3,,3,3,3,3
La Reine des neiges,2013,3,,,,,5,,2,,2,
La tour montparnasse ,2001,,,,,5,5,,4,,3,
Shrek 1,2001,4,,,,5,4,,4,4,4,4
Toy Story 1,1995,3,,,,4,4,,,5,2,4
Cars 1,2006,5,,,,5,4,,,5,3,3
Ratatouille,2007,5,,,,4,4,,5,5,5,4
Les simpson,1989,4,,,,5,5,,5,4,4,4
Mr Robot,2015,,,,,5,,,4,,,
YOU,2018,,,,,,,,5,5,,
Murder,2014,,,,,,,,3,4,,
Black Mirror,2011,,,,,,2,,3,,,
Narcos,2015,,,,,,,,4,4,,